bitstring,count
110111101001,13.0
110111101011,15.0
110111101100,286.0
110111101110,306.0
110111111000,1.0
111000000001,295.0
111000000011,280.0
111000000100,7073.0
111000000110,7039.0
111000001001,292.0
111000001011,276.0
111000001100,7025.0
111000001110,7059.0
111000010101,10.0
111000010111,12.0
111000011101,5.0
111000011111,14.0
111000100001,279.0
111000100011,296.0
111000100100,7005.0
111000100110,6991.0
111000101001,288.0
111000101011,260.0
111000101100,6954.0
111000101110,7026.0
111000110101,15.0
111000110111,12.0
111000111101,12.0
111000111111,13.0
111001000000,260.0
111001000010,298.0
111001001000,285.0
111001001010,290.0
111001010001,339.0
111001010011,333.0
111001010100,6907.0
111001010110,6941.0
111001011001,289.0
111001011011,312.0
111001011100,6831.0
111001011110,7068.0
111001100000,297.0
111001100010,296.0
111001101000,294.0
111001101010,283.0
111001110001,313.0
111001110011,289.0
111001110100,7168.0
111001110110,7146.0
111001111001,312.0
111001111011,296.0
111001111100,7009.0
111001111110,6981.0
111010000001,281.0
111010000011,312.0
111010000100,6979.0
111010000110,6961.0
111010001001,283.0
111010001011,299.0
111010001100,6979.0
111010001110,6909.0
111010010101,10.0
111010010111,14.0
111010011101,13.0
111010011111,20.0
111010100001,281.0
111010100011,301.0
111010100100,6973.0
111010100110,7071.0
111010101001,286.0
111010101011,285.0
111010101100,7068.0
111010101110,6962.0
111010110101,15.0
111010110111,9.0
111010111101,17.0
111010111111,11.0
111011000000,286.0
111011000010,284.0
111011001000,299.0
111011001010,284.0
111011010001,321.0
111011010011,335.0
111011010100,6925.0
111011010110,6933.0
111011011001,329.0
111011011011,310.0
111011011100,6909.0
111011011110,6873.0
111011100000,288.0
111011100010,295.0
111011101000,279.0
111011101010,304.0
111011110001,310.0
111011110011,324.0
111011110100,7062.0
111011110110,7097.0
111011111001,310.0
111011111011,279.0
111011111100,6920.0
111011111110,6831.0
111100000000,1.0
111100001010,1.0
111100100000,2.0
111100101000,1.0
111101000001,7.0
111101000011,10.0
111101000100,277.0
111101000110,276.0
111101001001,13.0
111101001011,12.0
111101001100,291.0
111101001110,295.0
111101010000,1.0
111101010101,1.0
111101011101,1.0
111101100001,9.0
111101100011,19.0
111101100100,297.0
111101100110,268.0
111101101001,10.0
111101101011,12.0
111101101100,282.0
111101101110,257.0
111101110010,1.0
111101110101,1.0
111101111010,1.0
111101111101,1.0
111101111111,1.0
111110001000,1.0
111110001010,1.0
111110101000,1.0
111111000001,10.0
111111000011,12.0
111111000100,286.0
111111000110,294.0
111111001001,11.0
111111001011,16.0
111111001100,306.0
111111001110,246.0
111111010101,2.0
111111011000,1.0
111111100001,12.0
111111100011,8.0
111111100100,268.0
111111100110,308.0
111111101001,10.0
111111101011,10.0
111111101100,253.0
111111101110,283.0
111111110010,1.0
111111110101,2.0
111111110111,2.0
111111111000,1.0
